date,ticker,shares,amount,type
2024-06-17,CASH,0.0,5000.0,FLOW
2024-06-17,VWO,248.14,-10918.16,TRADE
2024-06-17,SMH,-81.7189,22266.77,TRADE
2024-06-17,COST,-12.2527,10634.24,TRADE
2024-07-01,VIG,0.0,305.35,DIVIDEND
2024-07-01,XLE,0.0,601.14,DIVIDEND
2024-07-01,VTV,0.0,461.55,DIVIDEND
2024-09-30,XLE,0.0,601.14,DIVIDEND
2024-09-30,VTV,0.0,461.55,DIVIDEND
2024-09-30,VIG,0.0,305.35,DIVIDEND
2024-12-13,TLT,141.0586,-12716.43,TRADE
2024-12-13,CASH,0.0,5000.0,FLOW
2024-12-31,VIG,0.0,305.35,DIVIDEND
2024-12-31,VTV,0.0,461.55,DIVIDEND
2024-12-31,XLE,0.0,601.14,DIVIDEND
2025-03-31,XLE,0.0,601.14,DIVIDEND
2025-03-31,VIG,0.0,305.35,DIVIDEND
2025-03-31,VTV,0.0,461.55,DIVIDEND
2025-06-12,CASH,0.0,5000.0,FLOW
2025-06-12,XLE,272.1323,-11781.97,TRADE
2025-06-30,VTV,0.0,461.55,DIVIDEND
2025-06-30,XLE,0.0,601.14,DIVIDEND
2025-06-30,VIG,0.0,305.35,DIVIDEND
2025-09-30,VIG,0.0,305.35,DIVIDEND
2025-09-30,VTV,0.0,461.55,DIVIDEND
2025-09-30,XLE,0.0,601.14,DIVIDEND
2025-12-09,CASH,0.0,5000.0,FLOW
2025-12-19,XLE,-231.21,10203.3,TRADE
2025-12-19,TLT,116.5425,-10203.3,TRADE
2026-02-12,SPMO,3.0,-356.22,TRADE
2026-02-12,FBTC,3.0,-171.69,TRADE
2026-02-12,XMHQ,2.0,-212.92,TRADE
2026-02-12,VOO,1.0,-629.3,TRADE
2026-02-12,VXUS,4.0,-328.5,TRADE
2026-02-12,AVDV,2.0,-214.77,TRADE
2026-02-12,AVUV,3.0,-339.53,TRADE
2026-02-11,XMHQ,5.0,-539.5,TRADE
2026-02-11,AVDV,4.0,-431.36,TRADE
2026-02-11,VOO,1.0,-637.98,TRADE
2026-02-11,AVUV,5.0,-577.35,TRADE
2026-02-11,SPMO,5.0,-604.9,TRADE
2026-02-11,VXUS,1.0,-82.77,TRADE
2026-02-11,NDAQ,-41.0,3307.49,TRADE
2026-02-06,FBTC,5.0,-296.85,TRADE
2026-02-05,NDAQ,-19.0,1610.47,TRADE
2026-02-05,AVUV,1.0,-112.03,TRADE
2026-02-05,XMHQ,2.0,-214.22,TRADE
2026-02-05,VOO,1.0,-624.76,TRADE
2026-02-05,VXUS,1.0,-79.55,TRADE
2026-02-05,SPMO,1.0,-116.78,TRADE
2026-02-05,AVDV,1.0,-101.79,TRADE
2026-02-05,FBTC,5.0,-306.68,TRADE
2026-02-05,FBTC,-10.0,609.4,TRADE
2026-02-05,FBTC,-3.0,182.82,TRADE
2026-02-05,FBTC,-3.0,182.82,TRADE
2026-02-04,BND,0.0,6.87,DIVIDEND
2026-02-03,AVDV,13.0,-1328.34,TRADE
2026-02-03,VXUS,-18.0,1445.4,TRADE
2026-02-03,BND,-28.0,2068.63,TRADE
2026-02-03,XMHQ,10.0,-1072.6,TRADE
2026-02-02,GLD,1.0,-425.52,TRADE
2026-02-02,FBTC,4.0,-274.52,TRADE
2026-01-30,MSBNK,-0.07,0.07,INTEREST
2026-01-30,GLD,1.0,-436.21,TRADE
2026-01-30,VXUS,13.0,-1038.91,TRADE
2026-01-30,SPMO,9.0,-1078.38,TRADE
2026-01-30,AVUV,12.0,-1302.55,TRADE
2026-01-30,VOO,1.0,-635.04,TRADE
2026-01-30,SCHG,-136.0,4346.84,TRADE
2026-01-30,GLD,1.0,-468.94,TRADE
2026-01-29,NDAQ,-10.0,975.12,TRADE
2026-01-29,SCHG,11.0,-353.41,TRADE
2026-01-29,VOO,1.0,-636.93,TRADE
2026-01-29,AVUV,2.0,-219.02,TRADE
2026-01-29,SPMO,2.0,-240.38,TRADE
2026-01-29,VXUS,1.0,-80.89,TRADE
2026-01-29,AMZN,-2.0,482.3,TRADE
2026-01-29,SCHG,6.0,-192.3,TRADE
2026-01-28,CASH,0.0,-29.0,FLOW
